pmid,type,id,entity_type,text,location/reference,infon
31991541,annotation,A2,Virus_other,SARS-CoV,114:8,NCBI:txid:694009 
31991541,annotation,A3,Virus_SARS-CoV-2,most recent emergent group 2B coronavirus,293:41,NCBI:txid:2697049
31991541,annotation,A4,Virus_SARS-CoV-2,2019-nCoV,27:9,NCBI:txid:2697049
31991541,annotation,A5,Virus_family,Coronavirus,14:11,NCBI:txid:693995
31991541,annotation,A1,Virus_SARS-CoV-2,novel coronavirus,57:17,NCBI:txid:2697049
31991541,annotation,A6,Virus_SARS-CoV-2,2019-nCoV,76:9,NCBI:txid:2697049
32013309,annotation,A65,Virus_family,coronavirus,25:11,NCBI:txid:693995
32013309,annotation,A66,Symptom,inflammation,45:12,
32013309,annotation,A67,Virus_SARS-CoV-2,Coronavirus,91:11,NCBI:txid:2697049
32013309,annotation,A68,Disease_other,respiratory syndrome,120:20,
32013309,annotation,A69,Virus_family,Coronavirus,221:11,NCBI:txid:693995
32013309,annotation,A70,Disease_other,Human coronavirus infections,340:28,
32013309,annotation,A71,Disease_other,respiratory diseases,404:20,
32013309,annotation,A72,Symptom,inflammation,435:12,
32013309,annotation,A73,Symptom,fever,454:5,
32013309,annotation,A74,Symptom,cough,461:5,
32013309,annotation,A75,Disease_other,respiratory tract infection,474:27,
32013309,annotation,A77,Symptom,dysfunction of internal organs,506:30,
32013309,annotation,A78,Symptom,death,554:5,
32013309,annotation,A79,Disease_other,Coronavirus infection,561:21,
32013309,annotation,A80,Virus_family,corona virus,619:12,NCBI:txid:693995
32013309,annotation,A81,Virus_family,Virus,845:5,
32013309,annotation,A83,Symptom,inflammation,1103:12,
32013309,annotation,A84,Protein,IL-1,1046:4,Uniprot:P01583 or P01584
32013309,annotation,A85,Protein,IL-33,1055:5,Uniprot:O95760
32013309,annotation,A156,Virus_family,coronavirus,1119:11,
32007643,annotation,A104,Virus_SARS-CoV-2,novel coronavirus,59:17,NCBI:txid:2697049
32007643,annotation,A105,Virus_SARS-CoV-2,2019-nCoV,78:9,NCBI:txid:2697049
32007643,annotation,A106,Disease_COVID-19,novel coronavirus (2019-nCoV) pneumonia,215:39,
32007643,annotation,A107,Virus_SARS-CoV-2,2019-nCoV,444:9,NCBI:txid:2697049
32007643,annotation,A108,Virus_SARS-CoV-2,2019-nCoV,604:9,NCBI:txid:2697049
32007643,annotation,A109,Disease_other,coronavirus diseases,841:20,
32007643,annotation,A110,Disease_other,MERS,863:4,
32007643,annotation,A111,Disease_other,SARS,872:4,
32007643,annotation,A112,Virus_SARS-CoV-2,2019-nCoV,1282:9,NCBI:txid:2697049
32007643,annotation,A113,Virus_SARS-CoV-2,2019-nCoV,1393:9,NCBI:txid:2697049
32036774,annotation,A114,Virus_SARS-CoV-2,Emerging novel coronavirus,0:26,NCBI:txid:2697049
32036774,annotation,A115,Virus_SARS-CoV-2,2019-nCoV,28:9,NCBI:txid:2697049
32036774,annotation,A116,Virus_family,Coronaviruses,132:13,NCBI:txid:693995
32036774,annotation,A117,Disease_other,respiratory,181:11,
32036774,annotation,A118,Disease_other,enteric,194:7,
32036774,annotation,A119,Disease_other,systemic infections,206:19,
32036774,annotation,A120,Virus_family,coronaviruses,319:13,NCBI:txid:693995
