92395	covid19	COVID-19
7891	coronavirusdisease2019	coronavirus disease 2019
3524	sarscov2infection	SARS-CoV-2 infection
3139	covid19infection	COVID-19 infection
1452	covid19pneumonia	COVID-19 pneumonia
1250	covid	COVID
830	covid19disease	COVID-19 disease
457	coronavirusdisease19	coronavirus disease-19
415	novelcoronavirusdisease	novel coronavirus disease
404	novelcoronavirusdisease2019	novel coronavirus disease 2019
315	novelcoronaviruspneumonia	novel coronavirus pneumonia
308	covid19infections	COVID-19 infections
277	sarscov2infected	SARS-CoV-2 infected
275	severeacuterespiratorysyndromecoronavirus2sarscov2infection	severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection
260	sarscov2infections	SARS-CoV-2 infections
203	covid19infected	COVID-19 infected
192	2019novelcoronavirusdisease	2019 novel coronavirus disease
156	ncp	NCP
153	sarscov2pneumonia	SARS-CoV-2 pneumonia
150	2019ncovinfection	2019-nCoV infection
142	covid2019	COVID-2019
129	2019coronavirusdisease	2019 coronavirus disease
114	novelcoronavirusinfection	novel coronavirus infection
103	severeacuterespiratorysyndromecoronavirus2infection	severe acute respiratory syndrome coronavirus 2 infection
86	coronavirusdisease2019covid19infection	coronavirus disease 2019 (COVID-19) infection
75	coronavirusdiseaseof2019	coronavirus disease of 2019
74	2019novelcoronaviruspneumonia	2019 novel coronavirus pneumonia
64	coronavirusdisease2019covid19pneumonia	coronavirus disease 2019 (COVID-19) pneumonia
57	newcoronaviruspneumonia	new coronavirus pneumonia
57	2019novelcoronavirusinfection	2019 novel coronavirus infection
54	2019ncovpneumonia	2019-nCoV pneumonia
45	newcoronavirusdisease	new coronavirus disease
42	ncovid19	NCOVID-19
37	sarscov2disease	SARS-CoV-2 disease
36	coronavirusdisease2019infection	coronavirus disease 2019 infection
36	2019,coronavirusdisease2019	2019, coronavirus disease 2019
30	coronavirusdisease2019pneumonia	Coronavirus Disease 2019 Pneumonia
29	newcoronavirusinfection	new coronavirus infection
29	covidinfection	COVID infection
26	covid19acuterespiratorydistresssyndrome	COVID-19 acute respiratory distress syndrome
25	covid19relatedpneumonia	COVID-19-related pneumonia
25	coronavirusinfectiousdisease2019	coronavirus infectious disease 2019
24	novelcoronavirusdisease19	novel coronavirus disease-19
24	coronavirusdiseasecovid19	coronavirus disease (COVID)-19
24	2019ncovinfected	2019-nCoV-infected
21	coronavirus2019disease	coronavirus 2019 disease
20	covid19ards	COVID-19 ARDS
18	sarscov2covid19infection	SARS-CoV-2 (COVID-19) infection
18	novelcoronavirus2019ncovinfection	novel coronavirus (2019-nCoV) infection
18	newcoronavirusdisease2019	new coronavirus disease 2019
18	covid19syndrome	COVID-19 syndrome
17	2019novelcoronaviruscovid19pneumonia	2019 novel coronavirus (COVID-19) pneumonia
17	2019novelcoronavirus2019ncovinfection	2019 novel coronavirus (2019-nCoV) infection
16	covid19diseases	COVID-19 diseases
16	2019novelcoronavirus2019ncovpneumonia	2019 novel coronavirus (2019-nCoV) pneumonia
15	novelcoronaviruscovid19infection	novel coronavirus (COVID-19) infection
15	ncip	NCIP
15	coivd19	COIVD-19
14	severeacuterespiratorysyndromecoronavirus2sarscov2infections	severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections
14	novelcoronaviruscovid19pneumonia	novel coronavirus (COVID-19) pneumonia
13	severeacuterespiratorysyndromecoronavirus2sarscov2disease	severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) disease
13	novelcoronavirussarscov2infection	novel coronavirus (SARS-CoV-2) infection
13	novelcoronavirusinfectedpneumonia	novel coronavirus-infected pneumonia
13	coronavirus19disease	coronavirus-19 disease
12	novelcovid19	novel COVID-19
12	covidpneumonia	COVID pneumonia
12	covd19	COVD-19
12	coronavirusdiseases2019	Coronavirus diseases 2019
12	2019ncovinfections	2019-nCoV infections
11	covid19coronavirusinfection	COVID-19 coronavirus infection
11	coronavirus2sarscov2infection	coronavirus 2 (SARS-CoV-2) infection
