22559	sarscov2	SARS-CoV-2
3169	severeacuterespiratorysyndromecoronavirus2	severe acute respiratory syndrome coronavirus 2
2005	novelcoronavirus	novel coronavirus
1372	2019ncov	2019-nCoV
543	2019novelcoronavirus	2019 novel coronavirus
398	newcoronavirus	new coronavirus
221	covid19virus	COVID-19 virus
162	coronavirus2019	coronavirus 2019
121	coronavirus2	coronavirus 2
104	novelcoronavirus2019	novel coronavirus 2019
101	cov2	CoV-2
97	ncov	nCoV
92	sarscoronavirus2	SARS-Coronavirus-2
60	2019coronavirus	2019 coronavirus
58	coronavirus19	Coronavirus-19
47	covid19coronavirus	COVID-19 coronavirus
42	cov19	CoV-19
32	severeacuterespiratorysyndromerelatedcoronavirus2	severe acute respiratory syndrome-related coronavirus 2
32	ncov19	nCoV-19
29	severeacuterespiratorysyndromesarscov2	severe acute respiratory syndrome (SARS)-CoV-2
27	coronavirus2019ncov	coronavirus 2019-nCoV
25	sarcov2	SAR-CoV-2
25	novelcoronaviruses	novel coronaviruses
24	covid19,coronavirus	COVID-19, coronavirus
19	novelcoronavirus2019ncov	novel coronavirus 2019-nCoV
19	ncov2019	nCOV-2019
16	severeacuterespiratorysyndromecov2	severe acute respiratory syndrome CoV 2
14	severeacuterespiratorysyndromecoronavirussarscov2	severe acute respiratory syndrome coronavirus (SARS-CoV)-2
13	severeacuterespiratorysyndromesarscoronavirus2	severe acute respiratory syndrome (SARS) coronavirus 2
13	hcov19	HCoV-19
13	chinacoronavirus	China coronavirus
12	wuhancoronavirus	Wuhan coronavirus
10	severeacuterespiratorysyndromesarscoronaviruscov2	severe acute respiratory syndrome (SARS)-coronavirus (CoV)-2
10	novelcoronavirus2	novel coronavirus 2
10	newcov	new CoV
10	covi19	COVI-19
9	novelcoronavirus,2019ncov	novel coronavirus, 2019-nCoV
9	newcoronavirus2019	new coronavirus 2019
9	2019newcoronavirus	2019 new coronavirus
8	novelcoronavirus19	novel coronavirus-19
6	newcoronavirus2019ncov	new coronavirus 2019-nCoV
6	coronavirusdisease2019covid19virus	coronavirus disease 2019 (COVID-19) virus
6	2019novelcov	2019 novel CoV
5	severeacuterespiratorysyndromevirus2	Severe acute respiratory syndrome virus 2
5	sarssevereacuterespiratorysyndromecov2	SARS (severe acute respiratory syndrome)-CoV-2
5	novelcovs	novel CoVs
5	novelcov	novel CoV
5	2019ncovcoronavirus	2019-nCoV coronavirus
4	sarscovid2	SARS-Covid-2
4	novelacuterespiratorysyndromecoronavirus2	novel acute respiratory syndrome coronavirus 2
4	covid19viruses	COVID-19 Viruses
4	chinascoronavirus	China's coronavirus
4	2019coronaviruses	2019: Coronaviruses
3	wuhancov	Wuhan CoV
3	severeacuterespiratorysyndromecoronavirus2019	severe acute respiratory syndrome coronavirus 2019
3	severacuterespiratorysyndromecoronavirus2	sever acute respiratory syndrome coronavirus 2
3	sc2	SC2
3	newcoronaviruses	new coronaviruses
3	newcoronavirus,2019ncov	new coronavirus>>, 2019-nCoV
3	covid19cov	Covid-19 CoV
3	covid19,virus	COVID-19, virus
3	cov2s	CoV2S
3	cov2019	CoV-2019
3	2019novelcoronavirus,2019ncov	2019 novel coronavirus, 2019-nCoV
2	wuhan2019ncovcoronavirus	Wuhan (2019-nCoV) coronavirus
2	severeacuterespiratorysyndromecoronaviruscov2	Severe acute respiratory syndrome coronavirus (CoV)-2
2	severeacuterespiratorysyndromeassociatedcoronavirus2	severe acute respiratory syndrome-associated coronavirus 2
2	severeacuterespiratorysyndrome,coronavirus2	severe acute respiratory syndrome, coronavirus-2
2	sars	SARS
2	novelcoronaviruscovid19 2	novel coronavirus (COVID-19) 2
2	covid19coronavirusdisease2019virus	COVID-19 (Coronavirus Disease 2019) virus
2	cov,2019ncov	CoV, 2019-nCoV
2	coronaviruscov2	coronavirus (CoV) 2
2	2019ncov,coronavirus	2019-nCoV', 'coronavirus
2	2019ncov,2019novelcoronavirus	2019-nCoV', '2019 novel coronavirus
2	2019cov	2019-CoV
2	2019,coronavirus	2019, coronavirus
2	19,novelcoronavirus	19, "novel coronavirus
1	wuhancovid19coronavirus	WuHan (COVID-19) coronavirus
1	whhuman1coronavirus	WH-Human 1' coronavirus
1	severeacuterespiratorysyndromecoronaviruses2	Severe Acute Respiratory Syndrome Coronaviruses 2
1	severeacuterespiratorysyndromecoronavirus19	Severe acute respiratory syndrome coronavirus 19
1	severeacuterespiratorysyndromecoronavirus,2019ncov	severe acute respiratory syndrome coronavirus", "2019-nCoV
1	sarsncov2	SARS-nCoV-2
1	sarscov2s	SARS-CoV-2S
1	sarscov,2	SARS-CoV,-2
1	sarscov	SARS-CoV
1	newcovs	new CoVs
1	newcov2	new CoV-2
1	newcov19	new CoV-19
1	newcoronavirus19	new coronavirus-19
1	newcoronavirus,2019	new coronavirus, 2019
1	ncov,coronavirus	NCoV, corona virus
1	ncov,2019ncov	nCoV, 2019-nCoV
1	covis19	COVIS-19
1	covidvirus	COVID virus
1	covid19sarscov2virus	COVID-19 (SARS-CoV-2) virus
1	covid19coronaviruses	COVID-19 coronaviruses
1	covid19coronavirusdisease2019sarscov2virus	COVID-19: Coronavirus disease 2019 (SARS-CoV-2) virus
1	covid19 2019ncovcov	COVID-19 (2019-nCoV). CoV
1	covid,virus	COVID", "virus
1	cov	CoV
1	coronavirusmerscov,2019ncov	coronavirus (MERS-CoV), 2019-nCov
1	coronaviruses2	coronaviruses- 2
1	coronavirus2019novelcoronavirus	coronavirus 2019 novel coronavirus
1	coronavirus,2019novelcoronavirus	coronavirus, 2019 novel coronavirus
1	coronavirus,2019ncov	coronavirus, 2019_nCoV
1	china,coronavirus2	China, coronavirus-2
1	china,coronavirus	China, coronavirus
1	2019novelcoronaviruses	2019 novel coronaviruses
1	2019newcov	2019-new CoV
1	2019ncovwuhancoronavirus	2019-nCoV (Wuhan) coronavirus
1	2019ncovs	2019-nCoVs
1	2019ncov,2019ncov	2019-nCoV, 2019-nCoV
