23107	sarscov2	SARS-CoV-2
8264	coronavirus	coronavirus
3220	severeacuterespiratorysyndromecoronavirus2	severe acute respiratory syndrome coronavirus 2
3136	novelcoronavirus	novel coronavirus
1540	2019ncov	2019-nCoV
1487	coronaviruses	coronaviruses
561	2019novelcoronavirus	2019 novel coronavirus
322	cov	CoV
219	betacoronavirus	betacoronavirus
200	covs	CoVs
196	covid19virus	COVID-19 virus
172	ncp	NCP
138	ncov	nCoV
128	novelcoronavirus2019	novel coronavirus 2019
94	sarscoronavirus2	SARS-Coronavirus-2
81	betacoronaviruses	betacoronaviruses
37	severeacuterespiratorysyndromerelatedcoronavirus2	severe acute respiratory syndrome-related coronavirus 2
28	sars2	SARS-2
26	sarcov2	SAR-CoV-2
25	novelcoronaviruses	novel coronaviruses
24	acuterespiratorysyndromecoronavirus2	acute respiratory syndrome coronavirus 2
20	novelcoronavirus2019ncov	novel coronavirus 2019-nCoV
20	betacov	beta-CoV
19	ncov2019	nCOV-2019
14	severeacuterespiratorysyndromecoronavirussarscov2	severe acute respiratory syndrome coronavirus (SARS-CoV)-2
14	hcov19	HCoV-19
13	wuhancoronavirus	Wuhan coronavirus
13	severeacuterespiratorysyndromesarscoronavirus2	severe acute respiratory syndrome (SARS) coronavirus 2
10	severeacuterespiratorysyndromesarscoronaviruscov2	severe acute respiratory syndrome (SARS)-coronavirus (CoV)-2
10	novelcoronavirus,2019ncov	novel coronavirus, 2019-nCoV
8	severeacuterespiratorysyndromecov2	severe acute respiratory syndrome CoV 2
7	chinavirus	China virus
7	2019,novelcoronavirus	2019, novel coronavirus
6	wuhanvirus	Wuhan virus
6	coronavirusdisease2019covid19virus	coronavirus disease 2019 (COVID-19) virus
6	betacovs	beta-CoVs
5	sarssevereacuterespiratorysyndromecov2	SARS (severe acute respiratory syndrome)-CoV-2
5	novelcovs	novel CoVs
5	novelcov	novel CoV
4	severeacuterespiratorysyndromesarscov2	severe acute respiratory syndrome (SARS)-CoV-2
4	covid19viruses	COVID-19. Viruses
4	cov2	CoV2
3	sc2	SC2
3	humancoronavirus2019	human coronavirus 2019
3	covid19,virus	COVID-19, virus
3	2019novelcov	2019 novel CoV
3	2019novelcoronavirus,2019ncov	2019 novel coronavirus, 2019-nCoV
2	wuhanseafoodmarketpneumoniavirus	Wuhan seafood market pneumonia virus
2	wuhan2019ncovcoronavirus	Wuhan (2019-nCoV) coronavirus
2	severeacuterespiratorysyndromecoronaviruscov2	severe acute respiratory syndrome coronavirus (CoV)-2
2	severeacuterespiratorysyndrome,coronavirus2	severe acute respiratory syndrome, coronavirus-2
2	sars	SARS
2	covid19coronavirusdisease2019virus	COVID-19 (Coronavirus Disease 2019) virus
2	chinesecoronavirus	Chinese coronavirus
2	2019ncp	2019-NCP
2	2019ncov,2019novelcoronavirus	2019-nCoV, 2019 novel coronavirus
1	wuhancovid19coronavirus	WuHan (COVID-19) coronavirus
1	severeacuterespiratorysyndromecoronaviruses2	Severe Acute Respiratory Syndrome Coronaviruses 2
1	sarsncov2	SARS-nCoV-2
1	sarscov2s	SARS-CoV-2S
1	sarscov,2	SARS-CoV,-2
1	sarscov	SARS-CoV
1	sar2	SAR2
1	ncov,2019ncov	nCoV, 2019-nCoV
1	covid19sarscov2virus	COVID-19 (SARS-CoV-2) virus
1	coronavirusdisease2019sarscov2virus	Coronavirus disease 2019 (SARS-CoV-2) virus
1	coronasvirus	coronas virus
1	betabetacoronavirus	beta (beta) coronavirus
1	2019novelcoronaviruses	2019 novel coronaviruses
1	2019ncovs	2019-nCoVs
1	2019ncov,2019ncov	2019-nCoV, 2019-nCoV
1	2019,novelcoronavirus2019	2019, novel coronavirus 2019
