98807	covid19	COVID-19
8165	coronavirusdisease2019	coronavirus disease 2019
3517	sarscov2infection	SARS-CoV-2 infection
483	coronavirusdisease19	coronavirus disease-19
425	novelcoronavirusdisease	novel coronavirus disease
417	novelcoronavirusdisease2019	novel coronavirus disease 2019
311	novelcoronaviruspneumonia	novel coronavirus pneumonia
267	severeacuterespiratorysyndromecoronavirus2sarscov2infection	severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection
261	sarscov2infections	SARS-CoV-2 infections
188	2019novelcoronavirusdisease	2019 novel coronavirus disease
172	ncp	NCP
154	sarscov2pneumonia	SARS-CoV-2 pneumonia
149	2019ncovinfection	2019-nCoV infection
130	2019coronavirusdisease	2019 coronavirus disease
120	novelcoronavirusinfection	novel coronavirus infection
100	severeacuterespiratorysyndromecoronavirus2infection	severe acute respiratory syndrome coronavirus 2 infection
72	2019novelcoronaviruspneumonia	2019 novel coronavirus pneumonia
59	2019novelcoronavirusinfection	2019 novel coronavirus infection
56	newcoronaviruspneumonia	new coronavirus pneumonia
56	2019ncovpneumonia	2019-nCoV pneumonia
55	diseasecausedbysevereacuterespiratorysyndromecoronavirus2	disease caused by severe acute respiratory syndrome coronavirus 2
51	diseasecausedbysarscov2	disease caused by SARS-CoV-2
45	newcoronavirusdisease	new coronavirus disease
44	covid2019	COVID-2019
38	2019,coronavirusdisease2019	2019, coronavirus disease 2019
37	sarscov2disease	SARS-CoV-2 disease
37	novelcoronavirus,severeacuterespiratorysyndrome	novel coronavirus, severe acute respiratory syndrome
29	sars2	SARS-2
29	newcoronavirusinfection	new coronavirus infection
25	novelcoronavirusdisease19	novel coronavirus disease-19
24	covid19virusinfection	COVID-19 virus infection
24	coronavirusdiseasecovid19	coronavirus disease (COVID)-19
23	novelcoronavirussevereacuterespiratorysyndrome	novel coronavirus severe acute respiratory syndrome
20	newcoronavirusdisease2019	new coronavirus disease 2019
18	novelcoronavirus2019ncovinfection	novel coronavirus (2019-nCoV) infection
17	sarscov2covid19infection	SARS-CoV-2 (COVID-19) infection
17	2019novelcoronaviruscovid19pneumonia	2019 novel coronavirus (COVID-19) pneumonia
16	novelcoronaviruscovid19infection	novel coronavirus (COVID-19) infection
16	infectioncausedbysevereacuterespiratorysyndromecoronavirus2	infection caused by severe acute respiratory syndrome coronavirus 2
16	2019novelcoronavirus2019ncovpneumonia	2019 novel coronavirus (2019-nCoV) pneumonia
16	2019novelcoronavirus2019ncovinfection	2019 novel coronavirus (2019-nCoV) infection
