22792	sarscov2	SARS-CoV-2
3037	severeacuterespiratorysyndromecoronavirus2	severe acute respiratory syndrome coronavirus 2
1981	novelcoronavirus	novel coronavirus
1436	2019ncov	2019-nCoV
553	2019novelcoronavirus	2019 novel coronavirus
383	newcoronavirus	new coronavirus
196	covid19virus	COVID-19 virus
102	novelcoronavirus2019	novel coronavirus 2019
91	sarscoronavirus2	SARS-Coronavirus-2
62	2019coronavirus	2019 coronavirus
31	severeacuterespiratorysyndromerelatedcoronavirus2	severe acute respiratory syndrome-related coronavirus 2
26	sarcov2	SAR-CoV-2
25	novelcoronaviruses	novel coronaviruses
20	novelcoronavirus2019ncov	novel coronavirus 2019-nCoV
18	viruscausingcovid19	virus causing COVID-19
16	ncov	nCoV
14	hcov19	HCoV-19
14	2019,severeacuterespiratorysyndromecoronavirus2	2019, severe acute respiratory syndrome coronavirus 2
13	severeacuterespiratorysyndromecoronavirussarscov2	severe acute respiratory syndrome coronavirus (SARS-CoV)-2
13	2019sarscov2	2019. SARS-CoV-2
13	2019,sarscov2	2019, SARS-CoV-2
12	wuhancoronavirus	Wuhan coronavirus
12	virusresponsibleforcovid19	virus responsible for COVID-19
12	severeacuterespiratorysyndromesarscoronavirus2	severe acute respiratory syndrome (SARS) coronavirus 2
12	2019severeacuterespiratorysyndromecoronavirus2	2019 severe acute respiratory syndrome coronavirus 2
10	severeacuterespiratorysyndromesarscoronaviruscov2	severe acute respiratory syndrome (SARS)-coronavirus (CoV)-2
10	novelcoronavirus,2019ncov	novel coronavirus, 2019-nCoV
8	severeacuterespiratorysyndromecov2	severe acute respiratory syndrome CoV 2
8	newcoronavirus2019	new coronavirus 2019
7	sarscov2 2019ncov	SARS-CoV-2/2019-nCoV
7	ncov2019	nCOV-2019
7	2019,novelcoronavirus	2019, novel coronavirus
6	wuhanvirus	Wuhan virus
6	newcoronavirus2019ncov	new coronavirus 2019-nCoV
6	2019newcoronavirus	2019-new coronavirus
5	sarssevereacuterespiratorysyndromecov2	SARS (severe acute respiratory syndrome)-CoV-2
4	severeacuterespiratorysyndromesarscov2	severe acute respiratory syndrome (SARS)-CoV-2
4	cov2	CoV2
4	2019covid19sarscov2	2019 (COVID-19). SARS-CoV-2
4	2019coronaviruses	2019: Coronaviruses
3	sc2	SC2
3	novelcovs	novel CoVs
3	novelcov	novel CoV
3	newcoronaviruses	new coronaviruses
3	newcoronavirus,2019ncov	new coronavirus>>, 2019-nCoV
3	humancoronavirus2019	human coronavirus 2019
3	covid19viruses	COVID-19 viruses
3	covid19,virus	COVID-19, virus
3	2019novelsevereacuterespiratorysyndromecoronavirus2	2019 novel severe acute respiratory syndrome coronavirus 2
3	2019novelcoronavirus,2019ncov	2019 novel coronavirus, 2019-nCoV
3	2019,coronavirus	2019, coronavirus
2	wuhanseafoodmarketpneumoniavirus	Wuhan seafood market pneumonia virus
2	wuhan2019ncovcoronavirus	Wuhan (2019-nCoV) coronavirus
2	severeacuterespiratorysyndrome,coronavirus2	severe acute respiratory syndrome, coronavirus-2
2	sarscov2 2019novelcoronavirus	SARS-CoV-2; 2019 novel coronavirus
2	sars	SARS
2	newcov	new CoV
2	covid19coronavirusdisease2019virus	COVID-19 (Coronavirus Disease 2019) virus
2	2019novelcov	2019 novel CoV
2	2019covid19severeacuterespiratorysyndromecoronavirus2	2019 (COVID-19). Severe acute respiratory syndrome coronavirus 2
1	wuhanpneumoniavirus	Wuhan pneumonia virus
1	wuhancovid19coronavirus	WuHan (COVID-19) coronavirus
1	virussevereacuterespiratorysyndromecoronavirus2causingcovid19	virus (severe acute respiratory syndrome coronavirus 2) causing COVID-19
1	severeacuterespiratorysyndromecoronaviruses2	Severe Acute Respiratory Syndrome Coronaviruses 2
1	severeacuterespiratorysyndromecoronaviruscov2	Severe acute respiratory syndrome coronavirus (CoV)-2
1	seafoodmarketvirus	sea food market virus
1	sarsncov2	SARS-nCoV-2
1	sarscov2s	SARS-CoV-2S
1	sarscov2,2019ncov	SARS-CoV-2, 2019-nCov
1	sarscov2,2019	SARS-CoV-2, 2019
1	sarscov2 2019	SARS-Cov2 2019
1	sarscov,2	SARS-CoV,-2
1	sarscov	SARS-CoV
1	novelcoronavirus2019sarscov2	novel coronavirus 2019 SARS-CoV-2
1	newcovs	new CoVs
1	newcoronavirus,2019	new coronavirus, 2019
1	covid19sarscov2virus	COVID-19 (SARS-CoV-2) virus
1	chinesecoronavirus	Chinese coronavirus
1	2019severeacuterespiratorysyndromecoronavirussarscov2	2019 severe acute respiratory syndrome coronavirus (SARS-CoV) 2
1	2019sarscov2sarscov2	2019 (SARS-CoV-2). SARS-CoV-2
1	2019novelcoronaviruses	2019 novel coronaviruses
1	2019ncovs	2019-nCoVs
1	2019humancoronavirus	2019 human coronavirus
1	2019covid19coronavirus	2019 (COVID-19). Coronavirus
1	2019,novelsarscov2	2019, novel SARS-CoV2
1	2019,novelcoronavirus2019	2019, novel coronavirus 2019
1	2019,hcov	2019, HCoV
1	2019,coronaviruses	2019, coronaviruses
1	2019 5,6sarscov2	2019 [5, 6]. SARS-CoV-2
