pmid,type,id,entity_type,text,location/reference,infon
31991541,annotation,A01,Virus_SARS-CoV-2,2019-nCoV,27:9,NCBI:txid:2697049
31991541,annotation,A02,Virus_family,Coronavirus,14:11,NCBI:txid:693995
31991541,annotation,A03,Virus_other,SARS-CoV,114:8,NCBI:txid:694009 
31991541,annotation,A04,Virus_SARS-CoV-2,most recent emergent group 2B coronavirus,293:41,NCBI:txid:2697049
31991541,annotation,A05,Virus_SARS-CoV-2,novel coronavirus,57:17,NCBI:txid:2697049
31991541,annotation,A06,Virus_SARS-CoV-2,2019-nCoV,76:9,NCBI:txid:2697049
32013309,annotation,A01,Virus_family,coronavirus,25:11,NCBI:txid:693995
32013309,annotation,A02,Symptom,inflammation,45:12,
32013309,annotation,A03,Cell,Mast cells,0:10,
32013309,annotation,A04,Virus_SARS-CoV-2,Coronavirus,91:11,NCBI:txid:2697049
32013309,annotation,A05,Disease_other,respiratory syndrome,120:20,
32013309,annotation,A06,Virus_family,Coronavirus,221:11,NCBI:txid:693995
32013309,annotation,A07,Disease_other,Human coronavirus infections,340:28,
32013309,annotation,A08,Disease_other,respiratory diseases,404:20,
32013309,annotation,A09,Symptom,inflammation,435:12,
32013309,annotation,A10,Symptom,fever,454:5,
32013309,annotation,A11,Symptom,cough,461:5,
32013309,annotation,A12,Disease_other,respiratory tract infection,474:27,
32013309,annotation,A13,Symptom,dysfunction of internal organs,506:30,
32013309,annotation,A14,Symptom,death,554:5,
32013309,annotation,A15,Disease_other,Coronavirus infection,561:21,
32013309,annotation,A16,Virus_family,corona virus,619:12,NCBI:txid:693995
32013309,annotation,A17,Virus_family,Virus,845:5,
32013309,annotation,A18,Symptom,inflammation,1103:12,
32013309,annotation,A19,Protein,IL-1,1046:4,
32013309,annotation,A20,Protein,IL-33,1055:5,
32013309,annotation,A21,Virus_family,coronavirus,1119:11,
32013309,annotation,A22,Cell,immune cells,658:12,
32013309,annotation,A23,Cell,mast cells,681:10,
32013309,annotation,A24,Cell,MCs,693:3,
32013309,annotation,A25,Cell,MCs,860:3,
32013309,annotation,A26,Chemical,histamine,926:9,
32013309,annotation,A27,Species_human,man,282:3,
32013309,annotation,A28,Species_human,man,289:3,
32007643,annotation,A01,Virus_SARS-CoV-2,novel coronavirus,59:17,NCBI:txid:2697049
32007643,annotation,A02,Virus_SARS-CoV-2,2019-nCoV,78:9,NCBI:txid:2697049
32007643,annotation,A03,Disease_COVID-19,novel coronavirus (2019-nCoV) pneumonia,215:39,
32007643,annotation,A04,Virus_SARS-CoV-2,2019-nCoV,444:9,NCBI:txid:2697049
32007643,annotation,A05,Virus_SARS-CoV-2,2019-nCoV,604:9,NCBI:txid:2697049
32007643,annotation,A06,Disease_other,coronavirus diseases,841:20,
32007643,annotation,A07,Disease_other,MERS,863:4,
32007643,annotation,A08,Disease_other,SARS,872:4,
32007643,annotation,A09,Virus_SARS-CoV-2,2019-nCoV,1282:9,NCBI:txid:2697049
32007643,annotation,A10,Virus_SARS-CoV-2,2019-nCoV,1393:9,NCBI:txid:2697049
32036774,annotation,A01,Virus_SARS-CoV-2,Emerging novel coronavirus,0:26,NCBI:txid:2697049
32036774,annotation,A02,Virus_SARS-CoV-2,2019-nCoV,28:9,NCBI:txid:2697049
32036774,annotation,A03,Virus_family,Coronaviruses,132:13,NCBI:txid:693995
32036774,annotation,A04,Disease_other,respiratory,181:11,
32036774,annotation,A05,Disease_other,enteric,194:7,
32036774,annotation,A06,Disease_other,systemic infections,206:19,
32036774,annotation,A07,Virus_family,coronaviruses,319:13,NCBI:txid:693995
32036774,annotation,A08,Virus_other,Severe Acute Respiratory Syndrome coronavirus,366:45,
32036774,annotation,A09,Virus_other,SARS-CoV,413:8,
32036774,annotation,A10,Virus_other,Middle East Respiratory Syndrome CoV,458:36,
32036774,annotation,A11,Virus_other,MERS-CoV,496:8,NCBI:txid:1335626
32036774,annotation,A12,Virus_SARS-CoV-2,This decade's first CoV,507:23,NCBI:txid:2697049
32036774,annotation,A13,Virus_SARS-CoV-2,2019-nCoV,538:9,NCBI:txid:2697049
32036774,annotation,A14,Virus_SARS-CoV-2,2019-nCoV,1034:9,NCBI:txid:2697049
32036774,annotation,A15,Virus_SARS-CoV-2,nCoV,1135:4,NCBI:txid:2697049
32036774,annotation,A16,Virus_SARS-CoV-2,novel virus,1110:11,NCBI:txid:2697049
32036774,annotation,A17,Virus_family,viruses,1207:7,
32036774,annotation,A18,Virus_SARS-CoV-2,virus,1281:5,NCBI:txid:2697049
32036774,annotation,A19,Virus_SARS-CoV-2,virus,1423:5,NCBI:txid:2697049
32036774,annotation,A20,Virus_SARS-CoV-2,virus,835:5,NCBI:txid:2697049
32036774,annotation,A21,Species_human,man,261:3,
32036774,annotation,A22,Species_other,mammals,266:7,
32036774,annotation,A23,Species_other,fish,275:4,
32036774,annotation,A24,Species_other,avian,285:5,
32036774,annotation,A25,Species_other,bats,998:4,
31992388,annotation,A01,Disease_COVID-19,novel coronavirus infections,73:28,
31992388,annotation,A02,Virus_SARS-CoV-2,novel coronavirus,144:17,NCBI:txid:2697049
31992388,annotation,A03,Disease_COVID-19,severe acute respiratory disease,182:32,
31992388,annotation,A04,Virus_SARS-CoV-2,2019-nCoV,163:9,NCBI:txid:2697049
32020836,annotation,A01,Virus_SARS-CoV-2,novel human coronavirus,37:23,NCBI:txid:2697049
32020836,annotation,A02,Disease_other,pneumonia,81:9,
32020836,annotation,A03,Disease_other,pneumonia,164:9,
32020836,annotation,A04,Disease_other,respiratory syndromes,344:21,
32020836,annotation,A05,Symptom,fever,477:5,
32020836,annotation,A06,Symptom,cough,484:5,
32020836,annotation,A07,Virus_SARS-CoV-2,novel coronavirus,761:17,NCBI:txid:2697049
32020836,annotation,A08,Virus_SARS-CoV-2,2019-nCoV,786:9,NCBI:txid:2697049
32020836,annotation,A09,Virus_family,Î²-coronavirus,1131:13,
32020836,annotation,A10,Virus_SARS-CoV-2,2019-nCoV,1189:9,NCBI:txid:2697049
32020836,annotation,A11,Virus_family,coronaviruses,1211:13,
32020836,annotation,A12,Virus_family,CoVs,1226:4,
